Title,Review,Date,Rating,Title_and_Review,Sentiment,Need
Instagram nightmare,To brittanyxavier I am not interested in shopping using this app. I am not one of your puppet and you will not earn anything from me. As soon as I can I will BLOCK YOU. Done as of 8/20/24 @ 1615,2024-08-20T14:15:40-07:00,1,Instagram nightmare To brittanyxavier I am not interested in shopping using this app. I am not one of your puppet and you will not earn anything from me. As soon as I can I will BLOCK YOU. Done as of 8/20/24 @ 1615,0,n/a
App will not load,"I’m not sure what’s happened to this app, but the app will not load. I’ve deleted it and reinstalled it, but it still will not load. The app works fine if I click on a link and it opens in Instagram, but it will not launch/load when the app is opened from my phone.",2024-08-18T07:24:01-07:00,2,"App will not load I’m not sure what’s happened to this app, but the app will not load. I’ve deleted it and reinstalled it, but it still will not load. The app works fine if I click on a link and it opens in Instagram, but it will not launch/load when the app is opened from my phone.",0,Add or improve app troubleshooting and diagnostic features to help users identify and resolve issues causing the app not to load.
Great but,Would love it to be easier to get to my favorites. It seems like the algorithm is always just instead suggesting things I would like. To find the ones I want to check regularly. I have to search their name each time.,2024-08-18T06:12:36-07:00,4,Great but Would love it to be easier to get to my favorites. It seems like the algorithm is always just instead suggesting things I would like. To find the ones I want to check regularly. I have to search their name each time.,65,"Add or enhance a feature for easier access to a user's favorite or frequently visited sections, possibly through improved navigation, bookmarks, or a dedicated ""favorites"" tab."
Love it!,It’s my go to for anything and everything.,2024-08-17T07:03:15-07:00,5,Love it! It’s my go to for anything and everything.,100,n/a
Does this app ever work?,Is it just my phone or does this app RARELY load when clicked on? Very frustrating.,2024-08-16T15:30:41-07:00,1,Does this app ever work? Is it just my phone or does this app RARELY load when clicked on? Very frustrating.,0,Add or improve app stability and loading speed features.
Makes shopping easy & fun!,This is my go-to app when I'm looking for that special gift or something unique.  LTK makes shopping fun again!,2024-08-15T19:21:44-07:00,5,Makes shopping easy & fun! This is my go-to app when I'm looking for that special gift or something unique.  LTK makes shopping fun again!,100,n/a
Broken,There have been so many bugs where it would just kick me out of the app if I click on an item and so I deleted and redownloaded the app but now it is just stuck on the opening screen with the logo and doesn’t load!,2024-08-14T11:44:55-07:00,1,Broken There have been so many bugs where it would just kick me out of the app if I click on an item and so I deleted and redownloaded the app but now it is just stuck on the opening screen with the logo and doesn’t load!,0,Add or enhance stability features and improve app loading mechanisms. Implement more robust error handling and debugging processes to address and prevent these issues.
Intrusive,"This app violates boundaries. I have notifications turned off on most apps; but even with notifications turned off on this app, it continues to have notifications on my Home Screen with the app and when I open up the app. The notification at times says “make sure to turn on notifications so you don’t miss out.” No. I have them turned off for a reason…why are you notifying me of something I don’t want to be notified of and have explicitly asked to not have notifications. This is annoying, unnecessary, and not a good look. Please change this as a way of demonstrating basic respect and an honoring of your users’ experience. Happy to change my review when these changes are made!",2024-08-13T10:10:03-07:00,1,"Intrusive This app violates boundaries. I have notifications turned off on most apps; but even with notifications turned off on this app, it continues to have notifications on my Home Screen with the app and when I open up the app. The notification at times says “make sure to turn on notifications so you don’t miss out.” No. I have them turned off for a reason…why are you notifying me of something I don’t want to be notified of and have explicitly asked to not have notifications. This is annoying, unnecessary, and not a good look. Please change this as a way of demonstrating basic respect and an honoring of your users’ experience. Happy to change my review when these changes are made!",0,"Add or improve a feature to fully respect user preferences regarding notifications, ensuring that if a user opts out of notifications, they do not receive any prompts or reminders about enabling notifications."
Doesn’t Work,I used to love this app then an update ago broke the app and now all I get is the loading screen. 😣,2024-08-12T13:28:02-07:00,1,Doesn’t Work I used to love this app then an update ago broke the app and now all I get is the loading screen. 😣,0,Add or improve an error handling feature with meaningful feedback to users and a streamlined recovery or update process to address and fix issues caused by updates.
Guy options,This app is a real game-changer but I don’t see any guys trending their clothes and fashion sense. I’m a guy and the whole discovery seems women-based. I hope to see the app thrive off mutual gender clothing,2024-08-07T13:24:41-07:00,3,Guy options This app is a real game-changer but I don’t see any guys trending their clothes and fashion sense. I’m a guy and the whole discovery seems women-based. I hope to see the app thrive off mutual gender clothing,65,"Add or enhance a feature to balance content discovery between different genders, allowing male users to see more trends related to men's fashion."
